record_id,timestamp,sensor_a,sensor_b,status,comment
M000048,2025-03-21T00:00:48,75.2594,0.472951,ok,fictional high-volume mock export
M000049,2025-03-22T00:00:49,23.7314,0.562221,check,fictional high-volume mock export
M000050,2025-03-23T00:00:50,49.7464,0.446448,repeat,fictional high-volume mock export
M000051,2025-03-24T00:00:51,35.3787,0.47694,missing,fictional high-volume mock export
M000052,2025-03-25T00:00:52,89.9349,0.437399,ok,fictional high-volume mock export
M000053,2025-03-26T00:00:53,24.7312,0.502321,check,fictional high-volume mock export
M000054,2025-03-27T00:00:54,77.5121,0.995573,repeat,fictional high-volume mock export
M000055,2025-03-28T00:00:55,66.2758,0.947793,missing,fictional high-volume mock export
M000056,2025-03-01T00:00:56,56.7002,0.410548,ok,fictional high-volume mock export
M000057,2025-03-02T00:00:57,59.4416,0.126008,check,fictional high-volume mock export
M000058,2025-03-03T00:00:58,11.0215,0.01728,repeat,fictional high-volume mock export
M000059,2025-03-04T00:00:59,81.8933,0.710349,missing,fictional high-volume mock export
M000060,2025-03-05T00:01:00,54.9372,0.216368,ok,fictional high-volume mock export
M000061,2025-03-06T00:01:01,78.123,0.268942,check,fictional high-volume mock export
M000062,2025-03-07T00:01:02,49.3724,0.584956,repeat,fictional high-volume mock export
M000063,2025-03-08T00:01:03,13.564,0.391036,missing,fictional high-volume mock export
M000064,2025-03-09T00:01:04,50.1192,0.865291,ok,fictional high-volume mock export
M000065,2025-03-10T00:01:05,52.458,0.614143,check,fictional high-volume mock export
M000066,2025-03-11T00:01:06,69.7786,0.771244,repeat,fictional high-volume mock export
M000067,2025-03-12T00:01:07,77.2562,0.907205,missing,fictional high-volume mock export
M000068,2025-03-13T00:01:08,57.993,0.690032,ok,fictional high-volume mock export
M000069,2025-03-14T00:01:09,39.0553,0.400983,check,fictional high-volume mock export
M000070,2025-03-15T00:01:10,57.2493,0.048919,repeat,fictional high-volume mock export
M000071,2025-03-16T00:01:11,39.9356,0.751268,missing,fictional high-volume mock export
M000072,2025-03-17T00:01:12,51.8883,0.277475,ok,fictional high-volume mock export
M000073,2025-03-18T00:01:13,32.4718,0.185296,check,fictional high-volume mock export
M000074,2025-03-19T00:01:14,64.4429,0.834189,repeat,fictional high-volume mock export
M000075,2025-03-20T00:01:15,64.7746,0.955633,missing,fictional high-volume mock export
M000076,2025-03-21T00:01:16,27.5122,0.138242,ok,fictional high-volume mock export
M000077,2025-03-22T00:01:17,42.2206,0.436276,check,fictional high-volume mock export
M000078,2025-03-23T00:01:18,65.3089,0.579474,repeat,fictional high-volume mock export
M000079,2025-03-24T00:01:19,11.1528,0.911847,missing,fictional high-volume mock export
M000080,2025-03-25T00:01:20,21.7801,0.443578,ok,fictional high-volume mock export
M000081,2025-03-26T00:01:21,83.4811,0.782315,check,fictional high-volume mock export
M000082,2025-03-27T00:01:22,55.4212,0.233666,repeat,fictional high-volume mock export
M000083,2025-03-28T00:01:23,89.4864,0.718425,missing,fictional high-volume mock export
M000084,2025-03-01T00:01:24,36.1931,0.476253,ok,fictional high-volume mock export
M000085,2025-03-02T00:01:25,41.0108,0.035024,check,fictional high-volume mock export
M000086,2025-03-03T00:01:26,13.695,0.778264,repeat,fictional high-volume mock export
M000087,2025-03-04T00:01:27,60.7973,0.098997,missing,fictional high-volume mock export
M000088,2025-03-05T00:01:28,29.1827,0.585473,ok,fictional high-volume mock export
M000089,2025-03-06T00:01:29,75.7116,0.370485,check,fictional high-volume mock export
M000090,2025-03-07T00:01:30,89.984,0.988735,repeat,fictional high-volume mock export
M000091,2025-03-08T00:01:31,48.7928,0.990183,missing,fictional high-volume mock export
M000092,2025-03-09T00:01:32,66.0992,0.665788,ok,fictional high-volume mock export
M000093,2025-03-10T00:01:33,49.3616,0.713133,check,fictional high-volume mock export
M000094,2025-03-11T00:01:34,73.3685,0.2146,repeat,fictional high-volume mock export
M000095,2025-03-12T00:01:35,43.9453,0.166219,missing,fictional high-volume mock export
M000096,2025-03-13T00:01:36,87.7551,0.760936,ok,fictional high-volume mock export
M000097,2025-03-14T00:01:37,20.456,0.33825,check,fictional high-volume mock export
M000098,2025-03-15T00:01:38,81.4524,0.170414,repeat,fictional high-volume mock export
M000099,2025-03-16T00:01:39,19.9153,0.417359,missing,fictional high-volume mock export
M000100,2025-03-17T00:01:40,25.7372,0.837104,ok,fictional high-volume mock export
M000101,2025-03-18T00:01:41,66.2001,0.328247,check,fictional high-volume mock export
M000102,2025-03-19T00:01:42,50.2185,0.205108,repeat,fictional high-volume mock export
M000103,2025-03-20T00:01:43,86.3535,0.311825,missing,fictional high-volume mock export
M000104,2025-03-21T00:01:44,68.4078,0.362528,ok,fictional high-volume mock export
M000105,2025-03-22T00:01:45,77.4092,0.555796,check,fictional high-volume mock export
M000106,2025-03-23T00:01:46,29.5016,0.07272,repeat,fictional high-volume mock export
M000107,2025-03-24T00:01:47,19.9259,0.996885,missing,fictional high-volume mock export
M000108,2025-03-25T00:01:48,40.4275,0.498472,ok,fictional high-volume mock export
M000109,2025-03-26T00:01:49,56.874,0.670084,check,fictional high-volume mock export
M000110,2025-03-27T00:01:50,62.1872,0.680447,repeat,fictional high-volume mock export
M000111,2025-03-28T00:01:51,53.451,0.632323,missing,fictional high-volume mock export
M000112,2025-03-01T00:01:52,59.953,0.904624,ok,fictional high-volume mock export
M000113,2025-03-02T00:01:53,11.3468,0.395037,check,fictional high-volume mock export
M000114,2025-03-03T00:01:54,30.1736,0.19992,repeat,fictional high-volume mock export
M000115,2025-03-04T00:01:55,80.1684,0.058169,missing,fictional high-volume mock export
M000116,2025-03-05T00:01:56,10.4809,0.901563,ok,fictional high-volume mock export
M000117,2025-03-06T00:01:57,85.8464,0.662467,check,fictional high-volume mock export
M000118,2025-03-07T00:01:58,26.2733,0.404492,repeat,fictional high-volume mock export
M000119,2025-03-08T00:01:59,82.4588,0.654256,missing,fictional high-volume mock export
M000120,2025-03-09T00:02:00,67.949,0.376131,ok,fictional high-volume mock export
M000121,2025-03-10T00:02:01,63.2577,0.977206,check,fictional high-volume mock export
M000122,2025-03-11T00:02:02,62.7383,0.506615,repeat,fictional high-volume mock export
M000123,2025-03-12T00:02:03,34.9869,0.990195,missing,fictional high-volume mock export
M000124,2025-03-13T00:02:04,40.8011,0.595895,ok,fictional high-volume mock export
M000125,2025-03-14T00:02:05,79.0809,0.266717,check,fictional high-volume mock export
M000126,2025-03-15T00:02:06,43.0975,0.346122,repeat,fictional high-volume mock export
M000127,2025-03-16T00:02:07,45.4993,0.01404,missing,fictional high-volume mock export
M000128,2025-03-17T00:02:08,84.0979,0.179106,ok,fictional high-volume mock export
M000129,2025-03-18T00:02:09,26.5012,0.929022,check,fictional high-volume mock export
M000130,2025-03-19T00:02:10,73.0996,0.205215,repeat,fictional high-volume mock export
M000131,2025-03-20T00:02:11,52.5509,0.798353,missing,fictional high-volume mock export
M000132,2025-03-21T00:02:12,14.8817,0.601456,ok,fictional high-volume mock export
M000133,2025-03-22T00:02:13,24.7566,0.133709,check,fictional high-volume mock export
M000134,2025-03-23T00:02:14,33.2313,0.689773,repeat,fictional high-volume mock export
M000135,2025-03-24T00:02:15,86.292,0.093686,missing,fictional high-volume mock export
M000136,2025-03-25T00:02:16,55.0775,0.166863,ok,fictional high-volume mock export
M000137,2025-03-26T00:02:17,85.2242,0.931435,check,fictional high-volume mock export
M000138,2025-03-27T00:02:18,40.1903,0.430883,repeat,fictional high-volume mock export
M000139,2025-03-28T00:02:19,30.8692,0.857851,missing,fictional high-volume mock export
M000140,2025-03-01T00:02:20,59.3836,0.281874,ok,fictional high-volume mock export
M000141,2025-03-02T00:02:21,25.7186,0.39365,check,fictional high-volume mock export
M000142,2025-03-03T00:02:22,24.7477,0.154288,repeat,fictional high-volume mock export
M000143,2025-03-04T00:02:23,39.1114,0.702794,missing,fictional high-volume mock export
M000144,2025-03-05T00:02:24,21.9236,0.782992,ok,fictional high-volume mock export
M000145,2025-03-06T00:02:25,13.7439,0.918928,check,fictional high-volume mock export
M000146,2025-03-07T00:02:26,42.5886,0.302377,repeat,fictional high-volume mock export
M000147,2025-03-08T00:02:27,33.7776,0.229697,missing,fictional high-volume mock export
M000148,2025-03-09T00:02:28,74.3056,0.329882,ok,fictional high-volume mock export
M000149,2025-03-10T00:02:29,50.8666,0.588958,check,fictional high-volume mock export
M000150,2025-03-11T00:02:30,40.2019,0.45977,repeat,fictional high-volume mock export
M000151,2025-03-12T00:02:31,65.6081,0.267359,missing,fictional high-volume mock export
M000152,2025-03-13T00:02:32,43.4182,0.148669,ok,fictional high-volume mock export
M000153,2025-03-14T00:02:33,11.4765,0.733129,check,fictional high-volume mock export
M000154,2025-03-15T00:02:34,40.1382,0.235648,repeat,fictional high-volume mock export
M000155,2025-03-16T00:02:35,61.7626,0.780142,missing,fictional high-volume mock export
M000156,2025-03-17T00:02:36,13.1644,0.555678,ok,fictional high-volume mock export
M000157,2025-03-18T00:02:37,68.9246,0.437432,check,fictional high-volume mock export
M000158,2025-03-19T00:02:38,20.5778,0.792465,repeat,fictional high-volume mock export
M000159,2025-03-20T00:02:39,85.5154,0.64634,missing,fictional high-volume mock export
M000160,2025-03-21T00:02:40,77.1864,0.41006,ok,fictional high-volume mock export
M000161,2025-03-22T00:02:41,12.4984,0.951861,check,fictional high-volume mock export
M000162,2025-03-23T00:02:42,23.7789,0.033333,repeat,fictional high-volume mock export
M000163,2025-03-24T00:02:43,52.3347,0.627709,missing,fictional high-volume mock export
M000164,2025-03-25T00:02:44,10.8095,0.871057,ok,fictional high-volume mock export
M000165,2025-03-26T00:02:45,58.468,0.113935,check,fictional high-volume mock export
M000166,2025-03-27T00:02:46,72.3946,0.810196,repeat,fictional high-volume mock export
M000167,2025-03-28T00:02:47,68.1708,0.55331,missing,fictional high-volume mock export
M000168,2025-03-01T00:02:48,16.636,0.777216,ok,fictional high-volume mock export
M000169,2025-03-02T00:02:49,74.4867,0.514205,check,fictional high-volume mock export
M000170,2025-03-03T00:02:50,65.9122,0.349644,repeat,fictional high-volume mock export
M000171,2025-03-04T00:02:51,54.457,0.361804,missing,fictional high-volume mock export
M000172,2025-03-05T00:02:52,41.634,0.522456,ok,fictional high-volume mock export
M000173,2025-03-06T00:02:53,87.9818,0.074851,check,fictional high-volume mock export
M000174,2025-03-07T00:02:54,88.0481,0.466126,repeat,fictional high-volume mock export
M000175,2025-03-08T00:02:55,35.858,0.655048,missing,fictional high-volume mock export
M000176,2025-03-09T00:02:56,15.1584,0.254923,ok,fictional high-volume mock export
M000177,2025-03-10T00:02:57,46.8538,0.514089,check,fictional high-volume mock export
M000178,2025-03-11T00:02:58,53.1701,0.251986,repeat,fictional high-volume mock export
M000179,2025-03-12T00:02:59,49.9311,0.243694,missing,fictional high-volume mock export
M000180,2025-03-13T00:03:00,44.0357,0.157671,ok,fictional high-volume mock export
M000181,2025-03-14T00:03:01,68.1728,0.403427,check,fictional high-volume mock export
M000182,2025-03-15T00:03:02,86.9102,0.699363,repeat,fictional high-volume mock export
M000183,2025-03-16T00:03:03,80.4186,0.73152,missing,fictional high-volume mock export
M000184,2025-03-17T00:03:04,67.1395,0.752304,ok,fictional high-volume mock export
M000185,2025-03-18T00:03:05,88.0505,0.423641,check,fictional high-volume mock export
M000186,2025-03-19T00:03:06,89.1669,0.530793,repeat,fictional high-volume mock export
M000187,2025-03-20T00:03:07,15.4751,0.109109,missing,fictional high-volume mock export
M000188,2025-03-21T00:03:08,28.159,0.063139,ok,fictional high-volume mock export
M000189,2025-03-22T00:03:09,33.2775,0.478114,check,fictional high-volume mock export
M000190,2025-03-23T00:03:10,21.486,0.194079,repeat,fictional high-volume mock export
M000191,2025-03-24T00:03:11,67.7187,0.436301,missing,fictional high-volume mock export
M000192,2025-03-25T00:03:12,13.2845,0.09528,ok,fictional high-volume mock export
M000193,2025-03-26T00:03:13,82.7867,0.233629,check,fictional high-volume mock export
M000194,2025-03-27T00:03:14,17.0969,0.039743,repeat,fictional high-volume mock export
M000195,2025-03-28T00:03:15,83.5205,0.976701,missing,fictional high-volume mock export
M000196,2025-03-01T00:03:16,36.2046,0.713367,ok,fictional high-volume mock export
M000197,2025-03-02T00:03:17,83.81,0.95314,check,fictional high-volume mock export
M000198,2025-03-03T00:03:18,37.3035,0.676775,repeat,fictional high-volume mock export
M000199,2025-03-04T00:03:19,78.4437,0.763036,missing,fictional high-volume mock export
M000200,2025-03-05T00:03:20,78.039,0.559485,ok,fictional high-volume mock export
M000201,2025-03-06T00:03:21,13.0469,0.50989,check,fictional high-volume mock export
M000202,2025-03-07T00:03:22,54.5523,0.26733,repeat,fictional high-volume mock export
M000203,2025-03-08T00:03:23,50.3594,0.365348,missing,fictional high-volume mock export
M000204,2025-03-09T00:03:24,66.9122,0.616765,ok,fictional high-volume mock export
M000205,2025-03-10T00:03:25,83.2293,0.297922,check,fictional high-volume mock export
M000206,2025-03-11T00:03:26,15.4922,0.445009,repeat,fictional high-volume mock export
M000207,2025-03-12T00:03:27,80.3609,0.168376,missing,fictional high-volume mock export
M000208,2025-03-13T00:03:28,15.0667,0.709168,ok,fictional high-volume mock export
M000209,2025-03-14T00:03:29,49.6262,0.857937,check,fictional high-volume mock export
M000210,2025-03-15T00:03:30,74.1717,0.004997,repeat,fictional high-volume mock export
M000211,2025-03-16T00:03:31,12.7837,0.965384,missing,fictional high-volume mock export
M000212,2025-03-17T00:03:32,27.0722,0.261932,ok,fictional high-volume mock export
M000213,2025-03-18T00:03:33,33.512,0.455388,check,fictional high-volume mock export
M000214,2025-03-19T00:03:34,46.1703,0.860282,repeat,fictional high-volume mock export
M000215,2025-03-20T00:03:35,42.6466,0.586979,missing,fictional high-volume mock export
M000216,2025-03-21T00:03:36,77.4368,0.515254,ok,fictional high-volume mock export
M000217,2025-03-22T00:03:37,13.9717,0.507879,check,fictional high-volume mock export
M000218,2025-03-23T00:03:38,24.3648,0.372187,repeat,fictional high-volume mock export
M000219,2025-03-24T00:03:39,80.7521,0.483943,missing,fictional high-volume mock export
M000220,2025-03-25T00:03:40,39.4207,0.411444,ok,fictional high-volume mock export
M000221,2025-03-26T00:03:41,75.6154,0.640112,check,fictional high-volume mock export
M000222,2025-03-27T00:03:42,61.0592,0.400622,repeat,fictional high-volume mock export
M000223,2025-03-28T00:03:43,79.2331,0.324614,missing,fictional high-volume mock export
M000224,2025-03-01T00:03:44,44.4688,0.67283,ok,fictional high-volume mock export
M000225,2025-03-02T00:03:45,44.4812,0.163472,check,fictional high-volume mock export
M000226,2025-03-03T00:03:46,85.1567,0.835504,repeat,fictional high-volume mock export
M000227,2025-03-04T00:03:47,58.4262,0.513343,missing,fictional high-volume mock export
M000228,2025-03-05T00:03:48,31.9346,0.580903,ok,fictional high-volume mock export
M000229,2025-03-06T00:03:49,39.5549,0.770611,check,fictional high-volume mock export
M000230,2025-03-07T00:03:50,52.6995,0.762396,repeat,fictional high-volume mock export
M000231,2025-03-08T00:03:51,23.2131,0.915431,missing,fictional high-volume mock export
M000232,2025-03-09T00:03:52,79.6891,0.743932,ok,fictional high-volume mock export
M000233,2025-03-10T00:03:53,79.131,0.099591,check,fictional high-volume mock export
M000234,2025-03-11T00:03:54,33.6598,0.029595,repeat,fictional high-volume mock export
M000235,2025-03-12T00:03:55,30.7854,0.247137,missing,fictional high-volume mock export
M000236,2025-03-13T00:03:56,37.9823,0.813157,ok,fictional high-volume mock export
M000237,2025-03-14T00:03:57,61.572,0.785119,check,fictional high-volume mock export
M000238,2025-03-15T00:03:58,82.0141,0.566135,repeat,fictional high-volume mock export
M000239,2025-03-16T00:03:59,22.9948,0.125952,missing,fictional high-volume mock export
M000240,2025-03-17T00:04:00,29.7457,0.470497,ok,fictional high-volume mock export
M000241,2025-03-18T00:04:01,18.5511,0.038335,check,fictional high-volume mock export
M000242,2025-03-19T00:04:02,72.6978,0.490583,repeat,fictional high-volume mock export
M000243,2025-03-20T00:04:03,20.7971,0.729987,missing,fictional high-volume mock export
M000244,2025-03-21T00:04:04,12.7332,0.466867,ok,fictional high-volume mock export
M000245,2025-03-22T00:04:05,36.1091,0.152684,check,fictional high-volume mock export
M000246,2025-03-23T00:04:06,28.5018,0.897528,repeat,fictional high-volume mock export
M000247,2025-03-24T00:04:07,76.7427,0.586364,missing,fictional high-volume mock export
M000248,2025-03-25T00:04:08,20.9108,0.228503,ok,fictional high-volume mock export
M000249,2025-03-26T00:04:09,62.7555,0.063826,check,fictional high-volume mock export
M000250,2025-03-27T00:04:10,61.4987,0.806059,repeat,fictional high-volume mock export
M000251,2025-03-28T00:04:11,82.642,0.011369,missing,fictional high-volume mock export
M000252,2025-03-01T00:04:12,67.1689,0.860556,ok,fictional high-volume mock export
M000253,2025-03-02T00:04:13,76.4498,0.792644,check,fictional high-volume mock export
M000254,2025-03-03T00:04:14,27.8053,0.396018,repeat,fictional high-volume mock export
M000255,2025-03-04T00:04:15,16.6412,0.963146,missing,fictional high-volume mock export
M000256,2025-03-05T00:04:16,81.0055,0.983484,ok,fictional high-volume mock export
M000257,2025-03-06T00:04:17,73.2759,0.457158,check,fictional high-volume mock export
M000258,2025-03-07T00:04:18,28.8083,0.775828,repeat,fictional high-volume mock export
M000259,2025-03-08T00:04:19,48.3292,0.623702,missing,fictional high-volume mock export
M000260,2025-03-09T00:04:20,65.498,0.539314,ok,fictional high-volume mock export
M000261,2025-03-10T00:04:21,79.4573,0.540819,check,fictional high-volume mock export
M000262,2025-03-11T00:04:22,43.7426,0.872959,repeat,fictional high-volume mock export
M000263,2025-03-12T00:04:23,21.0517,0.749701,missing,fictional high-volume mock export
M000264,2025-03-13T00:04:24,58.1269,0.22008,ok,fictional high-volume mock export
M000265,2025-03-14T00:04:25,36.0595,0.753469,check,fictional high-volume mock export
M000266,2025-03-15T00:04:26,86.167,0.704702,repeat,fictional high-volume mock export
M000267,2025-03-16T00:04:27,34.2619,0.932814,missing,fictional high-volume mock export
M000268,2025-03-17T00:04:28,27.5369,0.605065,ok,fictional high-volume mock export
M000269,2025-03-18T00:04:29,67.4699,0.180749,check,fictional high-volume mock export
M000270,2025-03-19T00:04:30,84.6569,0.957442,repeat,fictional high-volume mock export
M000271,2025-03-20T00:04:31,28.6855,0.15633,missing,fictional high-volume mock export
M000272,2025-03-21T00:04:32,87.9597,0.93542,ok,fictional high-volume mock export
M000273,2025-03-22T00:04:33,12.9405,0.867213,check,fictional high-volume mock export
M000274,2025-03-23T00:04:34,82.9572,0.425934,repeat,fictional high-volume mock export
M000275,2025-03-24T00:04:35,24.1281,0.299012,missing,fictional high-volume mock export
M000276,2025-03-25T00:04:36,31.0829,0.179359,ok,fictional high-volume mock export
M000277,2025-03-26T00:04:37,44.2564,0.482702,check,fictional high-volume mock export
M000278,2025-03-27T00:04:38,25.4617,0.680921,repeat,fictional high-volume mock export
M000279,2025-03-28T00:04:39,19.9073,0.771864,missing,fictional high-volume mock export
M000280,2025-03-01T00:04:40,80.3302,0.2812,ok,fictional high-volume mock export
M000281,2025-03-02T00:04:41,86.6482,0.463051,check,fictional high-volume mock export
M000282,2025-03-03T00:04:42,20.5643,0.763266,repeat,fictional high-volume mock export
M000283,2025-03-04T00:04:43,85.3726,0.174841,missing,fictional high-volume mock export
M000284,2025-03-05T00:04:44,69.896,0.132202,ok,fictional high-volume mock export
M000285,2025-03-06T00:04:45,88.1492,0.834416,check,fictional high-volume mock export
M000286,2025-03-07T00:04:46,58.4459,0.679568,repeat,fictional high-volume mock export
M000287,2025-03-08T00:04:47,52.5678,0.147727,missing,fictional high-volume mock export
M000288,2025-03-09T00:04:48,39.9628,0.897089,ok,fictional high-volume mock export
M000289,2025-03-10T00:04:49,89.6559,0.765345,check,fictional high-volume mock export
M000290,2025-03-11T00:04:50,84.0112,0.95374,repeat,fictional high-volume mock export
M000291,2025-03-12T00:04:51,24.1851,0.251215,missing,fictional high-volume mock export
M000292,2025-03-13T00:04:52,38.4081,0.426299,ok,fictional high-volume mock export
M000293,2025-03-14T00:04:53,53.5649,0.747,check,fictional high-volume mock export
M000294,2025-03-15T00:04:54,10.0326,0.31393,repeat,fictional high-volume mock export
M000295,2025-03-16T00:04:55,41.4819,0.927145,missing,fictional high-volume mock export
M000296,2025-03-17T00:04:56,21.5598,0.96025,ok,fictional high-volume mock export
M000297,2025-03-18T00:04:57,66.0451,0.344714,check,fictional high-volume mock export
M000298,2025-03-19T00:04:58,40.3666,0.078553,repeat,fictional high-volume mock export
M000299,2025-03-20T00:04:59,79.8235,0.792996,missing,fictional high-volume mock export
M000300,2025-03-21T00:05:00,21.7877,0.091106,ok,fictional high-volume mock export
M000301,2025-03-22T00:05:01,81.7082,0.352482,check,fictional high-volume mock export
M000302,2025-03-23T00:05:02,46.0796,0.156977,repeat,fictional high-volume mock export
M000303,2025-03-24T00:05:03,62.6163,0.115087,missing,fictional high-volume mock export
M000304,2025-03-25T00:05:04,63.7051,0.99071,ok,fictional high-volume mock export
M000305,2025-03-26T00:05:05,67.7837,0.725616,check,fictional high-volume mock export
M000306,2025-03-27T00:05:06,61.5102,0.991415,repeat,fictional high-volume mock export
M000307,2025-03-28T00:05:07,69.7186,0.298331,missing,fictional high-volume mock export
M000308,2025-03-01T00:05:08,30.8511,0.905218,ok,fictional high-volume mock export
M000309,2025-03-02T00:05:09,80.8926,0.777108,check,fictional high-volume mock export
M000310,2025-03-03T00:05:10,16.3475,0.483885,repeat,fictional high-volume mock export
M000311,2025-03-04T00:05:11,74.4567,0.384829,missing,fictional high-volume mock export
M000312,2025-03-05T00:05:12,50.6693,0.945908,ok,fictional high-volume mock export
M000313,2025-03-06T00:05:13,24.0079,0.917852,check,fictional high-volume mock export
M000314,2025-03-07T00:05:14,72.2762,0.785708,repeat,fictional high-volume mock export
M000315,2025-03-08T00:05:15,40.5644,0.72286,missing,fictional high-volume mock export
M000316,2025-03-09T00:05:16,76.9402,0.617209,ok,fictional high-volume mock export
M000317,2025-03-10T00:05:17,65.1615,0.052127,check,fictional high-volume mock export
M000318,2025-03-11T00:05:18,36.2343,0.520472,repeat,fictional high-volume mock export
M000319,2025-03-12T00:05:19,73.7939,0.238627,missing,fictional high-volume mock export
M000320,2025-03-13T00:05:20,84.0201,0.057793,ok,fictional high-volume mock export
M000321,2025-03-14T00:05:21,66.0743,0.444681,check,fictional high-volume mock export
M000322,2025-03-15T00:05:22,46.4849,0.200666,repeat,fictional high-volume mock export
M000323,2025-03-16T00:05:23,87.7184,0.602139,missing,fictional high-volume mock export
M000324,2025-03-17T00:05:24,49.8687,0.782646,ok,fictional high-volume mock export
M000325,2025-03-18T00:05:25,37.9691,0.278371,check,fictional high-volume mock export
M000326,2025-03-19T00:05:26,81.4699,0.645223,repeat,fictional high-volume mock export
M000327,2025-03-20T00:05:27,50.1817,0.423173,missing,fictional high-volume mock export
M000328,2025-03-21T00:05:28,47.2507,0.788022,ok,fictional high-volume mock export
M000329,2025-03-22T00:05:29,73.3048,0.660546,check,fictional high-volume mock export
M000330,2025-03-23T00:05:30,22.7022,0.403371,repeat,fictional high-volume mock export
M000331,2025-03-24T00:05:31,63.4652,0.189933,missing,fictional high-volume mock export
M000332,2025-03-25T00:05:32,13.6467,0.829402,ok,fictional high-volume mock export
M000333,2025-03-26T00:05:33,61.4625,0.368823,check,fictional high-volume mock export
M000334,2025-03-27T00:05:34,41.3545,0.044675,repeat,fictional high-volume mock export
M000335,2025-03-28T00:05:35,83.7115,0.398966,missing,fictional high-volume mock export
M000336,2025-03-01T00:05:36,18.8203,0.352131,ok,fictional high-volume mock export
M000337,2025-03-02T00:05:37,38.7506,0.248647,check,fictional high-volume mock export
M000338,2025-03-03T00:05:38,33.1071,0.766014,repeat,fictional high-volume mock export
M000339,2025-03-04T00:05:39,87.0734,0.001573,missing,fictional high-volume mock export
M000340,2025-03-05T00:05:40,16.8594,0.741859,ok,fictional high-volume mock export
